Pt,T,Vf,Vm,Ach,Over,Temp
0,0.258333,1.47195E-001,1.47195E-001,2.30089E-004,..........a,-327.66
1,0.516667,1.47201E-001,1.47476E-001,2.24289E-004,..........a,-327.66
2,0.775,1.47234E-001,1.47777E-001,2.21956E-004,..........a,-327.66
3,1.03333,1.47332E-001,1.48088E-001,2.16689E-004,..........a,-327.66
4,1.29167,1.47513E-001,1.48410E-001,2.17089E-004,..........a,-327.66
5,1.55,1.47766E-001,1.48729E-001,2.27356E-004,..........a,-327.66
6,1.80833,1.48063E-001,1.49057E-001,2.21889E-004,..........a,-327.66
7,2.06667,1.48380E-001,1.49376E-001,2.22622E-004,..........a,-327.66
8,2.325,1.48703E-001,1.49699E-001,2.17022E-004,..........a,-327.66
9,2.58333,1.49028E-001,1.50019E-001,2.26289E-004,..........a,-327.66
10,2.84167,1.49351E-001,1.50343E-001,2.23956E-004,..........a,-327.66
11,3.1,1.49673E-001,1.50664E-001,2.31156E-004,..........a,-327.66
12,3.35833,1.49995E-001,1.50988E-001,2.21889E-004,..........a,-327.66
13,3.61667,1.50317E-001,1.51305E-001,2.15556E-004,..........a,-327.66
14,3.875,1.50639E-001,1.51626E-001,2.19022E-004,..........a,-327.66
15,4.13333,1.50960E-001,1.51937E-001,2.25622E-004,..........a,-327.66
16,4.39167,1.51280E-001,1.52259E-001,2.14822E-004,..........a,-327.66
17,4.65,1.51598E-001,1.52573E-001,2.27756E-004,..........a,-327.66
18,4.90833,1.51915E-001,1.52887E-001,2.29822E-004,..........a,-327.66
19,5.16667,1.52232E-001,1.53205E-001,2.16756E-004,..........a,-327.66
20,5.425,1.52548E-001,1.53520E-001,2.24289E-004,..........a,-327.66
21,5.68333,1.52864E-001,1.53832E-001,2.18022E-004,..........a,-327.66
22,5.94167,1.53179E-001,1.54150E-001,2.21822E-004,..........a,-327.66
23,6.2,1.53494E-001,1.54458E-001,2.25622E-004,..........a,-327.66
24,6.45833,1.53809E-001,1.54774E-001,2.14956E-004,..........a,-327.66
25,6.71667,1.54122E-001,1.55082E-001,2.27689E-004,..........a,-327.66
26,6.975,1.54435E-001,1.55395E-001,2.32756E-004,..........a,-327.66
27,7.23333,1.54747E-001,1.55702E-001,2.26622E-004,..........a,-327.66
28,7.49167,1.55058E-001,1.56008E-001,2.23289E-004,..........a,-327.66
29,7.75,1.55368E-001,1.56309E-001,2.19356E-004,..........a,-327.66
30,8.00833,1.55676E-001,1.56612E-001,2.20689E-004,..........a,-327.66
31,8.26667,1.55982E-001,1.56913E-001,2.18489E-004,..........a,-327.66
32,8.525,1.56286E-001,1.57220E-001,2.19489E-004,..........a,-327.66
33,8.78333,1.56589E-001,1.57509E-001,2.18489E-004,..........a,-327.66
34,9.04167,1.56890E-001,1.57815E-001,2.23956E-004,..........a,-327.66
35,9.3,1.57191E-001,1.58119E-001,2.21889E-004,..........a,-327.66
36,9.5583,1.57491E-001,1.58419E-001,2.31889E-004,..........a,-327.66
37,9.8167,1.57792E-001,1.58711E-001,2.30289E-004,..........a,-327.66
38,10.075,1.58092E-001,1.59005E-001,2.18489E-004,..........a,-327.66
